German,English
akte,file
handeln,act
vergeben,forgive
wichtiger,important
dunkel,dark
blödsinn,nonsense
karriere,career
lily,lily
krankheit,illness
englisch,English
hexe,witch
aufmerksamkeit,attention
gefeuert,fired
großmutter,grandmother
gehts,Going
lisa,Lisa
hingehen,go there
erlauben,allow
gezogen,pulled
blöde,stupid
pfund,pound
bester,best
kunst,art
innerhalb,within
beendet,finished
million,million
satt,full
ebenso,as well
wachen,wake
regen,rain
geb,born
trottel,idiot
überlebt,survived
termin,appointment
komplett,completely
woanders,elsewhere
hure,whore
fühlte,felt
herzlichen,heartfelt
fliegt,flies
gebraucht,needed
dennoch,nonetheless
high,high
seiten,pages
feinde,enemies
tritt,occurs
behandeln,treat
geheimnisse,secrets
signal,signal
besprechen,discuss
warm,warm
schreibt,writes
l,l
verhindern,impede
selben,the same
verlässt,leaves
kochen,cook
kontrollieren,control
theater,theater
phil,phil
peinlich,awkward
joey,Joey
merken,remember
zurückkommen,come back
voraus,in advance
grab,grave
schweigen,be silent
roten,redden
washington,Washington
spuren,sense
weiterhin,furthermore
irgendein,any
schwimmen,to swim
müssten,would
griff,handle
wirkt,works
bewusst,consciously
liebte,loved
sterbe,die
bastard,bastard
schnappen,grab
schick,chic
schaffe,create
gäbe,would
stuhl,chair
präsidenten,presidents
geschah,happened
simon,Simon
dick,thick
trotz,despite
video,video
kerle,guys
alkohol,alcohol
freundlich,friendly
eric,eric
beobachtet,observed
dumme,stupid
selbstmord,suicide
marie,Marie
pete,pete
hank,hank
ln,ln
zähne,teeth
passierte,happened
genießen,enjoy
teuer,expensive
kräfte,forces
desto,the more
trage,wear
verrückte,crazy
einsatz,mission
heiligen,holy
eifersüchtig,jealous
gentlemen,gentlemen
zulassen,allow
gast,guest
toilette,toilet
flughafen,airport
mitgenommen,taken
panik,panic
raten,guess
superman,superman
handelt,acts
dreht,turns
absicht,intention
ideen,ideas
lebendig,lively
kennenzulernen,to get to know
begleiten,accompany
stärker,more
hä,huh
mühe,effort
schlage,hit
blind,blind
rote,redness
getrennt,separated
crew,crew
angenommen,assumed
annehmen,assume
mochte,want
code,code
nachbarn,neighbors
enttäuscht,disappointed
tode,death
herauszufinden,to find out
emma,Emma
zählen,to count
shield,shield
freitag,Friday
neulich,recently
schicke,chic
fuhr,drove
wählen,choose
definitiv,definitely
kevin,Kevin
stoppen,stop
matt,frosted
weitermachen,continue
kohle,money
oliver,oliver
bieten,offer
möglicherweise,possibly
verletzen,injure
street,street
betrifft,regards
familien,families
beinahe,almost
lst,lst
saß,sat
sonntag,Sunday
fahrer,driver
bestes,best
amy,Amy
vorstellung,performance
schlau,clever
merkwürdig,unusual
schien,seemed
b,b
erwarte,expect
carter,Carter
begraben,buried
ergibt,results
schlimmste,worst
größe,size
ohr,ear
julia,Julia
größten,largest
klappt,works
killer,killer
medizin,medicine
ebenfalls,also
schüler,pupils
barry,Barry
mehrere,several
einander,each other
anhalten,Stop
riesen,giant
tanz,dance
gehofft,hoped
rechnung,invoice
überzeugen,convince
gegenteil,opposite
treffe,meet
aussage,expression
schnauze,snout
ändert,changes
ausgehen,go out
erwachsen,adult
überprüft,checked
lügner,liar
whoa,whoa
konzentrieren,focus
harvey,Harvey
kennengelernt,met
filme,films
gesetzt,set
erlebt,experienced
prozent,percent
adam,Adam
aufmachen,open up
aufgeregt,upset
einsam,lonely
star,star
trick,trick
schönheit,beauty
unterstützung,support
solltet,should
echter,real
flucht,escape
dieselbe,the same
norden,north
zwölf,twelve
untersuchen,investigate
station,station
hoheit,Your Highness
verliert,loses
tschüs,bye
toller,great
klopfen,knock
probieren,try out
scharf,sharp
erlaubnis,permission
vermisse,I miss
lebst,live
halben,half
spielst,play
fremden,strangers
beobachten,observe
reinkommen,come in
hof,courtyard
ross,horse
endet,ends
berg,mountain
madam,madam
fehlen,miss
carl,Carl
abends,at evening
streiten,argue
brennt,burns
abhauen,run away
springen,jump
spüren,sense
jerry,Jerry
botschaft,message
ed,ed
brian,Brian
fing,started
blieb,remained
stich,engraving
entspann,relaxed
verändern,change
zuletzt,last
unterschreiben,sign
aufgenommen,recorded
locker,loose
post,post
brust,breast
trauen,trust
geklaut,stolen
antun,do
frisch,fresh
packen,pack
prost,Cheers!
dritte,third
liest,reads
existiert,exists
jederzeit,at any time
schiffe,ships
geöffnet,open
älter,older
big,big
gewinnt,wins
gebiet,area
götter,gods
kino,cinema
ums,about
verhaften,arrest
umgehen,evade
beruf,profession
einheit,unit
knapp,meager
abgeschlossen,completed
vorn,front
gerechtigkeit,justice
schrieb,wrote
verräter,traitor
gesamte,entire
deckung,cover
gewehr,gun
drücken,press
alarm,alarm
dingen,things
machten,made
william,William
akzeptieren,accept
geduld,patience
straßen,streets
morgan,morgan
story,story
herausgefunden,found
aufgehört,stopped
wichtige,important
zugang,access
bauch,belly
anrufe,calls
landen,land
ertragen,bear
on,on
kenn,know
mitte,center
herrgott,Lord
untersuchung,investigation
armer,poor
sitze,seats
selten,rarely
extra,extra
reparieren,repair
verbunden,tied together
möge,may
fliehen,flee
erzählst,tell
vertraue,trust
ärzte,doctors
angeht,as far as
wege,ways
schießt,shoots
kleider,dresses
luke,hatch
montag,Monday
nackt,naked
teile,parts
alice,Alice
gerufen,called
iss,eat
gezwungen,forced
angekommen,arrived
schreibe,write
penny,penny
presse,press
langen,long
steigt,rises
brot,bread
priester,priest
magie,magic
befreien,free
westen,west
schlechten,bad
anziehen,put on 
kompliziert,complicated
jedoch,however
laß,let
wetter,weather
sexy,sexy
erkannt,recognized
deutschland,Germany
berlin,Berlin
inzwischen,in the meantime
staaten,states
ton,clay
riskieren,risk
chaos,chaos
wundervoll,wonderful
prozess,process
papiere,papers
rechten,right
freundschaft,friendship
cop,cop
lhren,their
rock,rock
überlegt,considered
beten,pray
schauspieler,actor
linda,Linda
interessieren,are of interest
zunge,tongue
versuchst,are you trying
strafe,penalty
weint,cries
rate,rate
amen,Amen
song,song
träumen,dream
hauen,hit
winter,winter
usa,USA
dieb,thief
türen,doors
hübsche,pretty
hmm,hmm
wartest,wait
helden,heroes
trinkt,drinks
trennen,separate
stellte,presented
immerhin,anyway
personen,persons
gras,grass
befindet,are
kiste,box
beantworten,answer
nehm,take
schritte,steps
zog,pulled
schüsse,shots
dave,Dave
zuhören,listen
artikel,article
deutlich,clearly
jacke,jacket
starten,start
regel,rule
gegenseitig,each other
anstatt,instead of
schwul,gay
inspektor,inspector
blau,blue
hinterher,after
leck,leak
spiegel,mirror
gift,gift
schief,wrong
zahl,number
verwirrt,confused
trinke,drink
ficken,fuck
feuern,fire
vermissen,miss
erfreut,delighted
samstag,Saturday
wolf,wolf
anne,Anne
e,e
fälle,cases
leichter,lighter
schlafzimmer,bedroom
erleben,experience
cousin,cousin
jason,Jason
schwestern,sisters
meins,mine
wichtigste,most important
tausend,thousand
hemd,shirt
perfekte,perfect
mittagessen,lunch
herkommen,come here
victor,Victor
eindruck,impression
gucken,look
bedeutung,meaning
hungrig,hungry
projekt,project
trug,wore
bühne,stage
lügt,lies
kleidung,clothing
vernichten,destroy
julie,julie
champagner,champagne
verpassen,miss
echten,real
soviel,so much
gekriegt,got
schwere,heavy
nenne,name
theorie,theory
verteidigen,defend
menschheit,humanity
tatort,crime scene
wild,wild
angesehen,viewed
bestellt,ordered
gerät,device
altes,old
gemeldet,reported
arbeitete,work
müll,garbage
wessen,whose
vince,Vince
virus,virus
no,no
dritten,third
harte,hardness
decke,ceiling
motor,motor
möglichkeiten,possibilities
roy,roy
ausgezeichnet,excellent
geholt,fetched
bestätigt,confirmed
annie,Annie
dienen,serve
süßer,sweet
geraten,advised
geschmack,taste
ruiniert,ruined
vertrau,trust
europa,Europe
zelle,cell
treiben,to drive
jeff,Jeff
gründe,reasons
beweg,move
auseinander,apart
aye,aye
gelebt,lived
sprachen,languages
anführer,leader
wonach,after which
beeilung,hurry
abteilung,department
sturm,storm
vorschlag,suggestion
kaiser,emperor
gaben,gave
bricht,breaks
gas,gas
gewählt,chosen
geworfen,thrown
beerdigung,burial
menschliche,human
spitze,great
unrecht,wrong
find,find
verbracht,spent
welch,which
festhalten,hold onto
larry,Larry
gnade,grace
schlafe,temple
papier,paper
vögel,birds
betrogen,cheated
praktisch,practical
agenten,agents
wahren,TRUE
geburt,birth
spinnst,Are you crazy?
beruhigt,reassured
dunkelheit,darkness
charlotte,Charlotte
tolles,great
richtiger,correct
notfall,emergency
dahinter,behind
fremde,foreign
anfassen,touch
begegnet,encountered
besseren,better
wechseln,change
sack,bag
süden,south
genie,genius
fähigkeiten,skills
kommando,command
treppe,stairs
überlassen,left
übergeben,hand over
gelegt,laid
mantel,a coat
verschiedene,different
lucy,Lucy
nenn,name
offizier,officer
al,al
entwickelt,developed
täter,perpetrator
details,details
krebs,cancer
fressen,eat
gefolgt,followed
gemein,mean
fliege,fly
fein,fine
huh,huh
heimat,hometown
öffne,open
gleichzeitig,at the same time
howard,Howard
king,king
kilometer,kilometers
zurückkehren,return
reiten,ride
bye,bye
strom,electricity
kuh,cow
chicago,Chicago
briefe,letters
cops,cops
geil,cool
tötete,killed
schlange,snake
explosion,explosion
trägst,wear
talent,talent
frische,fresh
versteck,hiding place
feld,field
fernseher,TV
laura,Laura
cia,cia
geführt,guided
enterprise,enterprise
aufnehmen,to record
pech,bad luck
greifen,grab
wetten,betting
nieder,low
null,zero
verdächtigen,suspect
china,China
schließt,closes
publikum,audience
krieger,warrior
wieviel,how much
mittag,midday
jo,yes
unterhaltung,entertainment
öfter,more often
setze,set
spazieren,stroll
entspannen,relax
lebte,lived
wehtun,hurt
hiermit,hereby
hilfst,help
öffnet,opens
patrick,Patrick
quelle,source
entscheidungen,decisions
zwingen,force
ei,egg
sterne,stars
unterstützen,support
solch,such
eilig,hurry
verlor,lost
erfüllt,fulfilled
schlechtes,bad
bauer,farmer
fred,Fred
leitung,line
geträumt,dreamed
neugierig,curious
gewarnt,warned
schreie,screams
akten,files
babys,babies
offiziell,officially
las,las
anderem,other
besucht,visited
befinden,condition
schrei,scream
seufzt,sighs
bart,beard
tränen,tears
behauptet,claims
umzubringen,to kill
susan,Susan
kim,Kim
volle,full
esse,eat
verarschen,fool
einziger,only
geister,ghosts
streng,strictly
mitternacht,midnight
bestens,excellent
behaupten,claim
schläfst,sleep
höher,higher
fühl,feel
begonnen,started
leo,Leo
karen,Karen
erschaffen,create
loswerden,get rid of
staat,state
hütte,hut
chloe,Chloe
stoff,material
geschenkt,gift
vorgestellt,presented
rechtzeitig,punctual
schweine,pigs
melde,report
mitglied,member
vincent,Vincent
korrektur,correction
hergekommen,came here
würdet,would
dicht,dense
verursacht,caused
wohne,live
elena,Elena
heutzutage,nowadays
hosen,pants
verdammtes,damn it
wut,fury
kämpfe,fights
medikamente,medication
schreckliche,terrible
glaubte,believed
bürger,citizens
klären,clear up
gründen,found
maggie,Maggie
entfernen,remove
information,information
treibt,drives
beides,both
doctor,doctor
lebend,live
waschen,wash
tausende,thousands
vieles,many
schnee,snow
sean,sean
ergeben,result
vermute,I suspect
feigling,coward
atmet,breathes
nannte,named
sicherlich,surely
abgehauen,ran away
juden,Jews
besitz,possession
vernünftig,reasonable
häuser,houses
geräusch,noise
jones,Jones
doug,Doug
stärke,strength
empfangen,received
dauernd,constantly
stefan,Stefan
geheim,secret
schlacht,battle
beeilt,hurry
wirf,throw
eindeutig,clearly
chancen,chances
politik,policy
universum,universe
mittel,medium
riechen,smell
schlug,hit
eingesperrt,locked up
werk,factory
km,km
schrank,wardrobe
wichtiges,important
c,c
grace,grace
wirken,works
yo,yo
gehörte,belonged
warnen,warn
russen,Russians
irgend,any
musstest,had to
zugeben,admit
bestätigen,confirm
fresse,mouth
gefühlt,felt
sara,Sara
grenzen,borders
ließen,let
behalte,keep
beigebracht,taught
spielte,played
führer,leader
verbrecher,criminals
einst,once
zigarette,cigarette
brille,glasses
helen,Helen
jackson,Jackson
beschlossen,decided
gedanke,thought
himmels,heavens
künstler,artist
gelandet,landed
kämpft,fight
erschreckt,frightened
abenteuer,adventure
mexiko,Mexico
gewisse,certain
angeblich,allegedly
caroline,Caroline
wachsen,grow
erfolgreich,successful
internet,Internet
eva,Eva
beschützt,protected
truppen,troops
stammt,origins
vermögen,assets
marshall,Marshall
klinik,clinic
kauf,purchase
pizza,pizza
osten,east
verzeih,forgive
harold,Harold
kennenlernen,get to know
anbieten,offer
lippen,lips
scheisse,shit
aufwachen,wake up
stimmung,mood
gefangenen,prisoners
schickte,sent
amanda,Amanda
richten,direct
schieß,shoot
verurteilt,sentenced
holmes,Holmes
fange,start
bulle,bull
maske,mask
per,by
by,by
dinger,things
verbrannt,burned
antworte,reply
oberst,colonel
gratuliere,Congratulations
wenige,few
leiter,director
April,April
schnitt,cut
erfunden,invented
krankenwagen,ambulance
verpiss,piss off
smith,Smith
fett,fat
verwenden,use
schädel,skull
zurecht,rightly so
unglück,accident
mußt,must
heil,unhurt
jenny,Jenny
nettes,nice
irren,err
verlust,loss
einladung,invitation
wiederhole,repeat
erkläre,explain
sophie,Sophie
abgemacht,agreed
lecker,yummy
fluch,curse
schulter,shoulder
heilen,heal
aufgegeben,abandoned
beeindruckt,impressed
liebsten,I love you
ho,ho
hundert,hundred
stern,star
beziehungen,relationships
klo,toilet
momentan,at the moment
sendung,broadcast
brav,well-behaved
jagd,hunting
markt,market
grün,green
spüre,feel
wüste,desert
love,love
patient,patient
zweck,purpose
ziehst,pull
gewöhnt,used
hass,hate
benehmen,behavior
lügst,are you lying
vergisst,forgets
klang,sound
aufgrund,because of
schulde,debt
real,real
senator,senator
normale,normal
tyler,Tyler
verstärkung,reinforcement
punkte,points
würd,would
fähig,capable
stattdessen,instead
tim,tim
einziges,only
gesteckt,inserted
angreifen,attack
magen,stomach
zucker,sugar
ritter,knight
erstaunlich,astonishing
miles,miles
berichten,report
schaff,create
ausziehen,get undressed
uniform,uniform
klamotten,clothes
mum,mum
versagt,failed
planet,planet
ciao,ciao
realität,reality
stinkt,stinks
kommissar,commissioner
barney,barney
holz,wood
pack,pack
kurze,short
schneiden,cut
tiger,tiger
erfüllen,fulfill
anteil,portion
weiteres,further
gekämpft,fought
tiefer,deeper
house,house
weib,woman
urteil,verdict
führte,led
wayne,Wayne
verliere,lose
wünscht,wishes
frankie,Frankie
verrückten,crazy
kannten,knew
freiwillig,voluntarily
gesundheit,health
scheidung,divorce
lauft,running
achten,regard
angelegenheit,matter
öffentlichkeit,public
wiederholen,repeat
lies,read
starke,strength
lhrer,your
lernt,learns
revier,territory
loslassen,release
wirklichkeit,reality
begeistert,enthusiastic
meistens,mostly
verfügung,disposal
äußerst,extremely
roman,novel
dachtest,thought
grunde,reasons
jungfrau,Virgo
ratte,rat
verteidigung,defense
schreib,write
kyle,Kyle
posten,post
schreibtisch,desk
hübsches,pretty
happy,happy
hammer,hammer
pater,father
verließ,left
gewohnt,used
bewahren,preserve
besitzt,owns
tasse,cup
durchs,through
heut,today
lhrem,her
stress,stress
steckst,are you stuck
schenken,give
anklage,indictment
kugeln,balls
mrs,Mrs
drum,that
kalifornien,California
linken,left
bereich,area
besitzer,owner
führe,lead
west,west
zeuge,witness
vorbereiten,prepare
zusehen,watch
ali,Ali
korrekt,correctly
lege,lay
jäger,hunter
nahmen,took
tunnel,tunnel
aufregend,exciting
wilson,Wilson
pfarrer,priest
blaue,blueness
berührt,touched
white,white
gewiss,certainly
täglich,daily
besessen,possessed
reifen,tires
jessica,Jessica
schaue,look
übers,about
zahlt,pays
christus,Christ
freundinnen,girlfriends
probe,sample
viertel,quarter
leonard,Leonard
stücke,pieces
verwandelt,transforms
hurensohn,son of a whore
wissenschaft,science
hinweis,a notice
aufgefallen,noticed
suppe,soup
berge,mountains
amerikanische,American
mhm,mhm
scheißkerl,bastard
texas,Texas
hauptmann,captain
rick,Rick
gedächtnis,memory
verdacht,suspicion
behandlung,treatment
rosa,pink
durchgemacht,went through
sicht,view
nix,nothing
einladen,invite
schönste,most beautiful
übernehme,take over
scheck,check
französisch,French
schwerer,heavier
ursache,cause
landes,country
aufgetaucht,appeared
besiegen,defeat
anweisungen,instructions
verzweifelt,desperate
nennst,name
jean,Jean
erwischen,catch
verschwand,disappeared
fingerabdrücke,fingerprints
truck,truck
standen,stood
opfern,sacrifice
jahrhundert,century
bestellen,order
wissenschaftler,scientist
mitleid,pity
bereiten,prepare
schwachsinn,nonsense
vampir,vampire
erscheinen,appear
jesse,Jesse
miete,rent
titel,title
antrag,application
bäume,trees
terry,terry
freien,free
zigaretten,cigarettes
kauft,buys
verbrennen,burn
dutzend,dozen
martha,Martha
informiert,informed
fische,fish
rauskommen,get out
verrückter,crazy
hässlich,ugly
indianer,Indians
hirn,brain
befreit,freed
bestraft,punished
sitz,seat
linie,line
dummkopf,idiot
sand,sand
gehörst,belong
sollt,should
basis,base
reine,pure
käse,cheese
gegner,opponent
nancy,Nancy
spieler,player
langsamer,slower
affen,monkeys
gemerkt,noticed
joseph,Joseph
we,we
zahle,pay
sammeln,collect
stil,style
erfährt,learns
schock,shock
diener,servant
berühren,touch
merkt,notices
vorteil,advantage
monica,Monica
elf,eleven
tests,tests
affäre,affair
geliebte,beloved
empfang,reception
geschenke,gifts
verabschieden,say goodbye
applaus,applause
fürchten,fear
geküsst,kissed
titten,tits
ausweis,ID
start,start
roboter,robot
hafen,harbor
rund,around
casey,casey
beeindruckend,impressive
daneben,besides
fabrik,factory
elizabeth,Elizabeth
verlasse,leave
einfluss,influence
morde,murders
bedrohung,threat
